title,description,tag,content
McKinsey 7S Analyse,Erhalte eine detaillierte Analyse und Strategie für dein Produkt unter Verwendung des McKinsey 7S Frameworks.,Produktmanagement,"Du bist ein erfahrener McKinsey Produktmanager mit Expertise im Aufbau von Strategien und der Identifizierung und Verfolgung wichtiger Metriken mithilfe des McKinsey 7S Frameworks. Deine Aufgabe ist es, eine detaillierte Analyse und Strategie für mein Produkt unter Verwendung des McKinsey 7S Frameworks durchzuführen. Verwende Fallstudien oder Beispiele, die auf mein Produkt angewendet werden.
 

 Hier ist die Beschreibung deines Produkts: {{Beschreibung deines Produkts}}. Die Analyse und Strategie werden basierend auf dieser Beschreibung erstellt."
Blue Ocean Strategie Analyse,Erhalte eine detaillierte Analyse und Strategie für dein Produkt unter Verwendung der Blue Ocean Strategie.,Produktmanagement,"Du bist ein erfahrener Produktmanager mit Expertise im Aufbau von Strategien und der Identifizierung und Verfolgung wichtiger Metriken mithilfe der Blue Ocean Strategie. Deine Aufgabe ist es, eine detaillierte Analyse und Strategie für mein Produkt unter Verwendung der Blue Ocean Strategie durchzuführen. Verwende Fallstudien oder Beispiele, die auf mein Produkt angewendet werden.
 

 Hier ist die Beschreibung deines Produkts: {{Beschreibung deines Produkts}}. Die Analyse und Strategie werden basierend auf dieser Beschreibung erstellt."
Opportunity Solution Tree Analyse,Erhalte einen umfassenden Opportunity Solution Tree Analysebericht für dein Produkt unter Verwendung der Prinzipien aus Teresa Torres’ Buch 'Continuous Discovery Habits'.,Produktmanagement,"Du bist ein erfahrener Produktmanager, der die Prinzipien aus Teresa Torres’ Buch 'Continuous Discovery Habits' anwendet, um Opportunity Solution Trees für verschiedene Branchen und Märkte zu erstellen. 
 

 Deine Aufgabe ist es, einen umfassenden Opportunity Solution Tree Framework Analysebericht für mein Produkt zu erstellen. Beginne mit der Identifizierung des Hauptproblems oder der Hauptchance, die unser Produkt adressieren soll. Erkunde verschiedene potenzielle Lösungen oder Chancen, die das identifizierte Problem lösen oder die Chance nutzen könnten. Für jede potenzielle Lösung oder Chance führe eine gründliche Analyse der Vorteile, Risiken und Machbarkeit durch. Berücksichtige den potenziellen Einfluss auf Nutzer, das Unternehmen und technische Aspekte. Bewerte Abhängigkeiten und Kompromisse, die mit jeder Option verbunden sind, wie Ressourcenzuweisung, Zeitbeschränkungen oder technologische Einschränkungen. Nutze relevante Daten, Nutzer-Insights und Branchentrends, um deine Analyse zu unterstützen. Integriere Nutzer-Feedback, Marktforschung und verfügbare quantitative oder qualitative Daten, um detaillierte und genaue Antworten sicherzustellen. Dies hilft, die vielversprechendste Lösung oder Chance zu identifizieren, die den Nutzerbedürfnissen, Geschäftszielen und technischen Einschränkungen entspricht.
 

 Hier ist die Beschreibung deines Produkts: {{Beschreibung deines Produkts}}. Der Analysebericht wird basierend auf dieser Beschreibung erstellt."
Double Diamond Framework Analyse,Erhalte eine detaillierte Analyse und Strategie für dein Produkt unter Verwendung des Double Diamond Frameworks.,Produktmanagement,"Du bist ein erfahrener Produktmanager mit Expertise im Aufbau von Strategien und der Identifizierung und Verfolgung wichtiger Metriken mithilfe des Double Diamond Frameworks. Deine Aufgabe ist es, eine detaillierte Analyse und Strategie für mein Produkt unter Verwendung des Double Diamond Frameworks durchzuführen. Verwende Fallstudien oder Beispiele, die auf mein Produkt angewendet werden.
Hier ist die Beschreibung deines Produkts: {{Beschreibung deines Produkts}}."
JTBD Framework Analyse,Erhalte eine umfassende Forschung und Analyse für dein Produkt unter Verwendung des Jobs-to-be-Done (JTBD) Frameworks.,Produktmanagement,"Du bist ein erfahrener Produktmanager, der sich auf die Anwendung des Jobs-to-be-Done (JTBD) Frameworks spezialisiert hat. Untersuche, wie gut mein Produkt den Bedürfnissen und gewünschten Ergebnissen meiner Zielgruppe entspricht, und identifiziere Verbesserungsbereiche mithilfe des JTBD Frameworks. Beginne mit einem Blick auf den Notion-Task-Callout-Textblock für eine kurze Übersicht über dein Produkt und seine Hauptmerkmale. Unter Berücksichtigung meiner Zielgruppe werden wir uns mit der Kernaufgabe oder dem Hauptproblem befassen, das Kunden in diesen Rollen mit meinem Produkt lösen wollen. Durch das Verständnis ihrer Motivationen, Schmerzpunkte und gewünschten Ergebnisse können wir wertvolle Erkenntnisse gewinnen, um unsere Analyse zu informieren. Obwohl derzeit keine spezifischen Marktforschungsergebnisse, Kunden-Insights oder Nutzer-Feedback verfügbar sind, können wir dennoch mit der JTBD Framework Analyse basierend auf unserem Verständnis der Zielgruppe fortfahren. Solltest du in Zukunft relevante Informationen oder Daten haben, teile diese bitte, da sie unsere Analyse weiter bereichern werden. Während der Analyse werde ich detaillierte Erklärungen, Beispiele und Anwendungsfälle spezifisch für mein Produkt bereitstellen, die die Anwendung des JTBD Frameworks zur Förderung der Produktentwicklung und Verbesserung der Kundenzufriedenheit zeigen.
Hier ist die Beschreibung deines Produkts: {{Beschreibung deines Produkts}}."
Three Horizons of Growth Analyse,Erhalte eine detaillierte Analyse und Strategie für dein Produkt unter Verwendung des Three Horizons of Growth Frameworks.,Produktmanagement,"*Du bist ein erfahrener Produktmanager mit Expertise im Aufbau von Strategien und der Identifizierung und Verfolgung wichtiger Metriken mithilfe des Three Horizons of Growth Frameworks. Deine Aufgabe ist es, eine detaillierte Analyse und Strategie für mein Produkt unter Verwendung des Three Horizons of Growth Frameworks durchzuführen. Verwende Fallstudien oder Beispiele, die auf mein Produkt angewendet werden.
 Hier ist die Beschreibung deines Produkts: {{Beschreibung deines Produkts}}."
Value Maturity Matrix Analyse,Erhalte eine detaillierte Analyse und Strategie für dein Produkt unter Verwendung der Value Maturity Matrix.,Produktmanagement,"Du bist ein erfahrener Produktmanager mit Expertise im Aufbau von Strategien und der Identifizierung und Verfolgung wichtiger Metriken mithilfe der Value Maturity Matrix. Deine Aufgabe ist es, eine detaillierte Analyse und Strategie für mein Produkt unter Verwendung der Value Maturity Matrix durchzuführen. Verwende Fallstudien oder Beispiele, die auf mein Produkt angewendet werden.
Hier ist die Beschreibung deines Produkts: {{Beschreibung deines Produkts}}."
HEART Framework Analyse,Erhalte eine detaillierte Analyse für dein Produkt unter Verwendung des HEART Frameworks.,Produktmanagement,"Du bist ein erfahrener Produktmanager mit Expertise in der Identifizierung und Verfolgung wichtiger Metriken mithilfe des HEART Frameworks. Deine Aufgabe ist es, eine detaillierte Analyse für mein Produkt unter Verwendung des HEART Frameworks durchzuführen. Beginne mit der Bewertung des Zufriedenheitsgrades der Nutzer mit dem Produkt, wobei du dich auf Aspekte wie Zufriedenheit, Freude und Begeisterung konzentrierst. Verstehe, wie gut das Produkt die Erwartungen der Nutzer erfüllt und ihre Gesamterfahrung positiv beeinflusst.
Liefere eine Liste der wichtigsten Metriken, die verfolgt werden sollen, kategorisiert nach den Hauptkomponenten des HEART Frameworks: Happiness, Engagement, Adoption, Retention und Task Success. Für jede Metrik stelle spezifische Nutzerbeispiele für mein Produkt bereit. Verwende Fallstudien oder Beispiele aus der Nutzerforschung, um die Anwendung dieser Metriken auf mein Produkt zu veranschaulichen.
Hier ist die Beschreibung deines Produkts: {{Beschreibung deines Produkts}}."
Northstar Metric Framework Analyse,Erhalte eine umfassende Analyse für dein Produkt unter Verwendung des Northstar Metric Frameworks.,Produktmanagement,"Du bist ein erfahrener Produktmanager mit Expertise in Produktanalysen, Unit-Economics und dem Northstar Metric Framework. Deine Aufgabe ist es, eine umfassende Analyse für mein Produkt unter Verwendung des Northstar Metric Frameworks durchzuführen. Beginne mit der Identifizierung des Hauptziels oder Ergebnisses, das den Erfolg des Produkts definiert und als Northstar Metric dient. Diese Metrik sollte den ultimativen Wert, der den Nutzern geboten wird, zusammenfassen und mit den Geschäftszielen übereinstimmen.
 
Erforsche die verschiedenen führenden Indikatoren oder Sub-Metriken, die zur Northstar Metric beitragen und Einblicke in die Leistung des Produkts geben. Diese führenden Indikatoren können Nutzeraktionen, Engagement-Metriken, Conversion-Rates oder andere relevante Datenpunkte umfassen, die den Fortschritt hin zur Northstar Metric anzeigen. Bewerte die Wechselbeziehungen zwischen der Northstar Metric und ihren führenden Indikatoren. Erkläre, wie Änderungen in einer Metrik die anderen beeinflussen können, und hebe die Ursache-Wirkung-Beziehungen hervor. Diese Analyse wird wertvolle Einblicke in die Faktoren liefern, die den Erfolg des Produkts fördern oder behindern.
 
Für jede Metrik stelle spezifische Nutzerbeispiele für mein Produkt bereit. Verwende Fallstudien oder Beispiele aus der Nutzerforschung, um die Anwendung dieser Metriken auf mein Produkt zu veranschaulichen. Gib konkrete Empfehlungen, die durch Daten, Beispiele und relevante Branchentrends gestützt werden, um Genauigkeit und Detail in deinen Antworten sicherzustellen.
 
Formatiere deine Analyse, indem du eine detaillierte Liste der wichtigsten Metriken bereitstellst, kategorisiert nach den Hauptkomponenten des Northstar Frameworks: Input-, Output- und Outcome-Metriken.
 
Hier ist die Beschreibung deines Produkts: {{Beschreibung deines Produkts}}. Die Analyse wird basierend auf dieser Beschreibung erstellt."
Business Model Canvas Analyse,Erhalte eine detaillierte Analyse und Strategie für dein Produkt unter Verwendung des Business Model Canvas Frameworks.,Produktmanagement,"Du bist ein erfahrener Produktmanager mit Expertise im Aufbau von Strategien und der Identifizierung und Verfolgung wichtiger Metriken mithilfe des Business Model Canvas Frameworks. Deine Aufgabe ist es, eine detaillierte Analyse und Strategie für mein Produkt unter Verwendung des Business Model Canvas Frameworks durchzuführen. Verwende Fallstudien oder Beispiele, die auf mein Produkt angewendet werden.
 
Hier ist die Beschreibung deines Produkts: {{Beschreibung deines Produkts}}."
Code-Review,Überprüfe den bereitgestellten Code und gebe konstruktives Feedback zur Verbesserung.,Softwareentwicklung,"**Aufgabe:** Überprüfe den bereitgestellten Code und gebe konstruktives Feedback zur Verbesserung.
 

 **Anweisungen:**
 

 1. Lies den bereitgestellten Code sorgfältig durch.
 2. Analysiere die Code-Struktur, Variablennamen, Funktionen und den Logikfluss.
 3. Suche nach Syntaxfehlern, Bugs oder Ineffizienzen.
 4. Berücksichtige Best Practices für die verwendete Programmiersprache.
 5. Gebe klare und konstruktive Rückmeldungen zu Bereichen, die verbessert werden könnten.
 6. Wenn zutreffend, füge Beispiele hinzu, wie problematischer Code refaktoriert werden kann.
 7. Lobe Abschnitte des Codes, die gut geschrieben sind und Best Practices folgen.
 

 **Benutzereingaben:** {{zu überprüfender Code}}"
Code-Refactoring,"Analysiere den bereitgestellten Code und schlage Verbesserungen vor, um die Wartbarkeit und Lesbarkeit zu erhöhen.",Softwareentwicklung,"**Aufgabe:** Analysiere den bereitgestellten Code und schlage Verbesserungen vor, um die Wartbarkeit und Lesbarkeit zu erhöhen.
**Anweisungen:**
1. Füge den Code-Ausschnitt ein, den du refaktorieren möchtest.
2. Identifiziere Bereiche im Code, die verbessert werden können, wie:
- Doppelter Code
- Lange Methoden oder Funktionen
- Schlecht benannte Variablen oder Funktionen
- Komplexe Bedingungsanweisungen
- Fehlende Kommentare oder Dokumentation
3. Wende Refactoring-Techniken an, um die identifizierten Probleme zu beheben:
- Extrahiere doppelten Code in wiederverwendbare Funktionen oder Methoden
- Teile lange Methoden in kleinere, fokussierte Funktionen auf
- Benenne Variablen und Funktionen so, dass sie beschreibender und bedeutungsvoller sind
- Vereinfache komplexe Bedingungsanweisungen durch Guard Clauses oder Polymorphie
- Füge Kommentare hinzu, um den Zweck und die Funktionalität des Codes zu erklären
4. Teste den refaktorierten Code, um sicherzustellen, dass er noch wie erwartet funktioniert.
5. Überprüfe den refaktorierten Code auf weitere Verbesserungen oder Optimierungen.
**Benutzereingaben:** {{Code-Ausschnitt}}"
Code-Debugging,"Fehler im Code beheben, um das gewünschte Verhalten zu erreichen.",Softwareentwicklung,"**Aufgabe:** Fehler im Code beheben, um das gewünschte Verhalten zu erreichen.
**Anweisungen:**
1. Gib den Code-Ausschnitt an, der den Fehler verursacht.
2. Füge die spezifische Fehlermeldung oder eine Beschreibung des unerwarteten Verhaltens hinzu.
3. Gib die Programmiersprache und alle relevanten Bibliotheken oder Frameworks an.
4. Beschreibe das erwartete Verhalten oder die Ausgabe des Codes.
5. Der Assistent wird die bereitgestellten Informationen überprüfen und versuchen, die Ursache des Fehlers zu identifizieren.
6. Der Assistent wird Vorschläge oder Code-Änderungen zur Behebung des Fehlers anbieten.
7. Implementiere die vorgeschlagenen Änderungen und teste den Code, um sicherzustellen, dass der Fehler behoben ist.
**Benutzereingaben:** {{Code-Ausschnitt, der den Fehler verursacht}}, {{Fehlermeldung oder Beschreibung des unerwarteten Verhaltens}}"
Effektive Fehlerprotokollierungsstrategie,Entwickle eine effektive Strategie zur Fehlerprotokollierung für eine Produktionsumgebung.,Softwareentwicklung,"**Aufgabe:** Entwickle eine effektive Strategie zur Fehlerprotokollierung für eine Produktionsumgebung.
 

 **Anweisungen:**
 

 1. Verwende ein robustes Logging-Framework oder eine Bibliothek, die mit der Programmiersprache und dem Framework deiner Anwendung kompatibel ist.
 2. Konfiguriere das Logging-Framework, um relevante Informationen über Fehler zu erfassen, wie z.B. Zeitstempel, Fehlermeldung, Stack Trace und zusätzlicher Kontext.
 3. Setze geeignete Log-Levels (z.B. ERROR, WARN, INFO), um zwischen kritischen Fehlern und weniger schwerwiegenden Problemen zu unterscheiden.
 4. Implementiere ein zentralisiertes Logging-System, um Logs von mehreren Servern oder Instanzen deiner Anwendung zu sammeln und zu speichern.
 5. Verwende ein Log-Management-Tool oder einen Dienst, um die gesammelten Logs zu aggregieren, zu durchsuchen und zu analysieren, um bessere Einblicke und Fehlerbehebungen zu ermöglichen.
 6. Stelle sicher, dass sensible Informationen (z.B. Benutzerdaten, Anmeldeinformationen) nicht protokolliert werden oder ordnungsgemäß maskiert sind, um Sicherheit und Datenschutz zu gewährleisten.
 7. Richte Warnungen und Benachrichtigungen für kritische Fehler ein, um eine schnelle Reaktion und Lösung zu ermöglichen.
 8. Überwache und überprüfe die Logs regelmäßig, um Muster, Trends und potenzielle Probleme proaktiv zu identifizieren.
 9. Implementiere Log-Rotation und Aufbewahrungsrichtlinien, um die Log-Speicherung zu verwalten und übermäßigen Festplattenverbrauch zu verhindern.
 

 **Benutzereingaben:** {{Programmiersprache und Framework der Anwendung}}, {{Zusätzlicher Kontext oder spezifische Anforderungen für die Produktionsumgebung}}"
Vergleich von Software-Frameworks,Vergleiche zwei Software-Frameworks und hebe die wichtigsten Unterschiede hervor.,Softwareentwicklung,"**Aufgabe:** Vergleiche zwei Software-Frameworks und hebe die wichtigsten Unterschiede hervor.
**Anweisungen:**
1. Identifiziere die beiden zu vergleichenden Frameworks: Framework A und Framework B.
2. Recherchiere die wichtigsten Merkmale, Vorteile und Anwendungsfälle jedes Frameworks.
3. Analysiere die Gemeinsamkeiten und Unterschiede zwischen den beiden Frameworks.
4. Hebe die Hauptunterschiede hervor in Bezug auf:
a. Programmiersprache
b. Leistung
c. Community-Support und Ökosystem
d. Lernkurve
e. Skalierbarkeit
f. Spezifische Anwendungsfälle, in denen jedes Framework hervorragt
5. Fasse die wichtigsten Unterschiede klar und prägnant zusammen.
**Benutzereingaben:** {{Framework A}}, {{Framework B}}"
Strategien zur Modularisierung einer Codebase,Biete Strategien zur effektiven Modularisierung einer Codebase.,Softwareentwicklung,"**Aufgabe:** Biete Strategien zur effektiven Modularisierung eines Codebases.
**Anweisungen:**
1. Identifiziere logische Grenzen und Verantwortlichkeiten innerhalb des Codebases. Suche nach Teilen, die einen spezifischen Zweck oder eine bestimmte Funktionalität haben.
2. Trenne die Anliegen, indem du für jede wichtige Funktionalität oder jedes Feature eigene Module erstellst. Jedes Modul sollte eine klare und fokussierte Verantwortung haben.
3. Definiere klare Schnittstellen für jedes Modul, indem du die Eingabe- und Ausgabeverträge festlegst. Dies ermöglicht es den Modulen, miteinander zu interagieren, ohne eng gekoppelt zu sein.
4. Verwende Kapselung, um die internen Implementierungsdetails jedes Moduls zu verbergen. Gib nur die notwendigen öffentlichen Schnittstellen frei.
5. Minimiere Abhängigkeiten zwischen Modulen. Jedes Modul sollte möglichst wenig über die Interna anderer Module wissen.
6. Nutze Dependency Injection-Techniken, um Modulen die benötigten Abhängigkeiten bereitzustellen, anstatt sie ihre eigenen Abhängigkeiten erstellen oder abrufen zu lassen.
7. Organisiere verwandte Module in Paketen oder Verzeichnissen basierend auf ihrer Funktionalität oder ihrem Anwendungsbereich.
8. Erwäge die Verwendung von Design-Patterns wie Facades, Adapter oder Service-Layern, um eine vereinfachte Schnittstelle zu komplexen Subsystemen bereitzustellen.
9. Überprüfe und refaktorisiere den Codebase regelmäßig, um eine modulare Struktur zu erhalten und zu verhindern, dass Module im Laufe der Zeit eng gekoppelt werden.
10. Schreibe Unit-Tests für jedes Modul, um sicherzustellen, dass sie unabhängig funktionieren und isoliert getestet werden können.
**Benutzereingaben:** {{Programmiersprache oder verwendetes Framework}}, {{Spezifische Bereiche oder Funktionalitäten zur Modularisierung}}"
Regex-Generator,"Generiere reguläre Ausdrücke, die spezifische Textmuster erkennen.",Softwareentwicklung,"Agiere als Regex-Generator. Generiere reguläre Ausdrücke, die spezifische Textmuster erkennen. Liefere die Regex in einem Format, das leicht in einen regex-fähigen Texteditor oder eine Programmiersprache kopiert werden kann.
Hier ist das spezifische Textmuster, das erkannt werden soll: {{Beschreibung des Textmusters}}. Der reguläre Ausdruck wird basierend auf dieser Beschreibung generiert."
Kaltakquise-E-Mail,Erstellen Sie eine Kaltakquise-E-Mail für Ihr Produkt oder Ihre Dienstleistung.,Vertrieb,"Sie sind ein Vertriebsleiter und planen eine Kaltakquise-Kampagne für ""{{Produkt/Dienstleistung}}"". Ihr Ziel ist es, potenzielle Kunden zu überzeugen, indem Sie die konkreten Vorteile und Erfolge für bisherige Kunden hervorheben. Bauen Sie einen klaren Call-to-Action für ""{{Call-to-Action}}"" ein. Falls passend, beziehen Sie sich im Einstieg auf diesen Kontext: ""{{Kontext}}"""
Erstkontakt-Script,Erstelle ein Script für den ersten Kontakt mit einem potenziellen Kunden.,Vertrieb,"Erstelle ein Erstkontakt-Script für {{Verkaufssituation}}, das {{Unternehmensprodukt/Dienstleistung}} als unverzichtbar für {{Geschäftsbedarf des Interessenten}} positioniert."
Netzwerkstrategie,"Entwickle eine Netzwerkstrategie, die auf eine bestimmte Branche zugeschnitten ist.",Vertrieb,"Entwickle eine Netzwerkstrategie, die auf die {{spezifische Branche}} zugeschnitten ist, und skizziere die wichtigsten Methoden, um wertvolle Verbindungen herzustellen."
Upselling-Strategie,"Entwickle eine Strategie, um Kunden, die bereits ein Produkt gekauft haben, ein höherwertiges Produkt anzubieten.",Vertrieb,"Entwickle eine Upselling-Strategie für Kunden, die bereits {{Erstprodukt}} gekauft haben, indem du den Wert von {{Zusatzprodukt/Funktion}} hervorhebst."
